Date,Div_growth,DEF = LT Corp. - LT govt.,TERM = ST govt.-LT govt.
199301,0.001461,-0.002955,0.025643
199302,0.003035,-0.009454,0.033106
199303,0.002673,0.000373,-0.000411
199304,0.001456,-0.001974,0.004805
199305,0.003328,-0.002645,0.002484
199306,0.002421,-0.0149,0.042223
199307,0.001488,-0.008978,0.016708
199308,0.003251,-0.01407,0.040774
199309,0.002205,0.003775,-0.002034
199310,0.001487,-0.004491,0.007409
199311,0.003208,0.007264,-0.028296
199312,0.002234,0.00472,-0.000293
199401,0.001569,-0.005393,0.02317
199402,0.002871,0.017128,-0.046978
199403,0.002342,0.001247,-0.042079
199404,0.00164,0.005419,-0.0177
199405,0.00336,0.002053,-0.011351
199406,0.002429,0.001967,-0.013124
199407,0.00154,-0.005241,0.033488
199408,0.003254,0.005515,-0.01221
199409,0.002241,0.006799,-0.036599
199410,0.001719,-0.002556,-0.006267
199411,0.003122,-0.00478,0.00291
199412,0.002698,-0.00036,0.011584
199501,0.001816,-0.001644,0.023038
199502,0.002877,0.000231,0.024581
199503,0.002406,0.000351,0.004506
199504,0.001638,0.000554,0.012431
199505,0.003143,-0.014762,0.073281
199506,0.002154,-0.005901,0.009126
199507,0.002123,0.006785,-0.021197
199508,0.00287,-0.002163,0.018861
199509,0.001951,-0.002145,0.013118
199510,0.001535,-0.010596,0.024578
199511,0.002838,-0.000707,0.020637
199512,0.002058,-0.004272,0.022197
